anchors,edges,error,failure,flipped,flipped_count,loo_max_los_m,los_max_offset_m,los_median_offset_m,margins,meta_bias_hi,meta_bias_lo,meta_cap,meta_gap,meta_seed,meta_shadow,method,nlos_edges,nlos_median_offset_m,objective,oracle_flips,oracle_objective,orient_flip,positions,runtime_s,scene,status,truth
8,28,,unknown,G1 G3 T,3,3.243699023920475,0.1370787550495833,0.07756444242332844,{},5.0,3.0,0,0.0,0,hetero,gui_intervals,16,12.328127084882347,495.4363055116866,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.837, 0.0], ""G3"": [3.011, 0.009], ""N1"": [-7.387, -6.028], ""N2"": [-6.114, -6.297], ""N3"": [-4.623, -6.8], ""N4"": [-6.711, -4.967], ""T"": [1.4, 2.247]}",3.1318877119920217,drawing_b3-5_g0_hetero_cap0_r0,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.38989253148314623,0.023092465163057223,0.01485123069901638,"{""G1"": 33.91, ""G2"": 117.02, ""G3"": 69.11, ""N1"": 71.87, ""N2"": 130.56, ""N3"": 118.09, ""N4"": 62.42, ""T"": 33.91}",5.0,3.0,0,0.0,2,hetero,p_af_c16_d1,16,0.6615428994908155,83.64821357764308,0,83.64821361212816,0,"{""G1"": [0.0, 0.0], ""G2"": [1.971, 0.0], ""G3"": [3.113, -0.185], ""N1"": [-5.869, 7.766], ""N2"": [-5.949, 6.484], ""N3"": [-5.834, 4.871], ""N4"": [-4.607, 7.274], ""T"": [1.472, 2.114]}",0.916957868001191,drawing_b3-5_g0_hetero_cap0_r2,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,2.4241303886651187,0.24240033570450717,0.0981401630822859,{},3.0,1.6,0,0.0,9,hetero,gui_intervals,16,10.412361961134577,389.01713063243005,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.748, 0.0], ""G3"": [2.864, -0.073], ""N1"": [-8.11, -4.414], ""N2"": [-6.905, -4.879], ""N3"": [-5.377, -5.365], ""N4"": [-7.263, -3.399], ""T"": [0.975, 2.047]}",4.634113614010857,drawing_b1.6-3_g0_hetero_cap0_r9,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,1.988937514648042,0.32514185162938175,0.2176683951682864,{},3.0,1.6,0,0.0,8,hetero,gui_intervals,16,6.88188050851373,328.4857314605309,-1,nan,0,"{""G1"": [0.0, 0.0], ""G2"": [1.602, 0.0], ""G3"": [2.565, -0.561], ""N1"": [-8.931, 2.968], ""N2"": [-8.154, 1.898], ""N3"": [-7.274, 0.55], ""N4"": [-7.436, 3.214], ""T"": [1.837, 2.059]}",5.652087218011729,drawing_b1.6-3_g0_hetero_cap0_r8,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.4046792721799217,0.04333095619664385,0.02852944082466982,"{""G1"": 43.62, ""G2"": 199.79, ""G3"": 83.86, ""N1"": 73.24, ""N2"": 197.09, ""N3"": 114.91, ""N4"": 52.42, ""T"": 37.19}",5.0,3.0,0,0.0,3,hetero,p_af_c16_d1,16,0.6552096829579305,68.9300041878453,0,68.93000418325836,0,"{""G1"": [0.0, 0.0], ""G2"": [1.972, 0.0], ""G3"": [3.086, -0.286], ""N1"": [-5.842, 7.805], ""N2"": [-5.703, 6.503], ""N3"": [-5.715, 4.893], ""N4"": [-4.504, 7.357], ""T"": [1.489, 2.1]}",0.9134837070014328,drawing_b3-5_g0_hetero_cap0_r3,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,3.5934162760797546,0.22964558231040097,0.16068091017480227,{},5.0,3.0,0,0.0,1,hetero,gui_intervals,16,12.943916187509576,581.7716963729019,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.863, 0.0], ""G3"": [3.06, -0.117], ""N1"": [-7.57, -5.97], ""N2"": [-6.318, -6.356], ""N3"": [-4.736, -6.682], ""N4"": [-6.74, -4.83], ""T"": [1.78, 2.344]}",3.5928002659929916,drawing_b3-5_g0_hetero_cap0_r1,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,3.7653849616371167,0.3067045108376195,0.2083300397898301,{},5.0,3.0,0,0.0,2,hetero,gui_intervals,16,13.283674033245163,921.028109354907,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.848, 0.0], ""G3"": [3.032, -0.3], ""N1"": [-7.755, -5.808], ""N2"": [-6.538, -6.216], ""N3"": [-4.941, -6.545], ""N4"": [-6.764, -4.613], ""T"": [2.02, 2.341]}",4.0791979109926615,drawing_b3-5_g0_hetero_cap0_r2,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.33819061322507693,0.02667442689046693,0.013231919545328283,"{""G1"": 36.77, ""G2"": 195.13, ""G3"": 71.55, ""N1"": 82.79, ""N2"": 125.06, ""N3"": 43.75, ""N4"": 65.57, ""T"": 37.69}",5.0,3.0,0,0.0,4,hetero,p_af_c16_d1,16,0.5341932029745518,80.17364941136984,0,80.17364943331788,0,"{""G1"": [0.0, 0.0], ""G2"": [1.97, 0.0], ""G3"": [3.056, 0.189], ""N1"": [-5.609, -7.993], ""N2"": [-5.625, -6.646], ""N3"": [-5.586, -5.051], ""N4"": [-4.381, -7.458], ""T"": [1.46, -2.111]}",1.8580408019915922,drawing_b3-5_g0_hetero_cap0_r4,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.38246575273050837,0.04600209848938729,0.019720271202730767,"{""G1"": 32.72, ""G2"": 214.15, ""G3"": 90.97, ""N1"": 77.43, ""N2"": 111.75, ""N3"": 118.74, ""N4"": 74.7, ""T"": 4.64}",5.0,3.0,0,0.0,5,hetero,p_af_c16_d1,16,0.6018310395492368,76.07622114878016,0,76.07622116139957,0,"{""G1"": [0.0, 0.0], ""G2"": [1.934, 0.0], ""G3"": [3.095, -0.186], ""N1"": [-5.497, 8.141], ""N2"": [-5.484, 6.827], ""N3"": [-5.514, 5.219], ""N4"": [-4.218, 7.656], ""T"": [1.492, 2.088]}",1.526115065003978,drawing_b3-5_g0_hetero_cap0_r5,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G3 T,2,4.6003939714923385,0.13652915505768237,0.12278569659718336,{},5.0,3.0,0,0.0,4,hetero,gui_intervals,16,13.836044335454861,457.6665218753294,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.952, 0.0], ""G3"": [3.172, 0.055], ""N1"": [-5.354, -8.067], ""N2"": [-5.737, -6.879], ""N3"": [-5.542, -5.194], ""N4"": [-4.272, -7.501], ""T"": [1.606, 2.214]}",2.9129474429937545,drawing_b3-5_g0_hetero_cap0_r4,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
